_id,lectura,fecha
61b15b9bd9bb6262308e0476,Hello mqtt,22
61b15b9bd9bb6262308e0477,24.70,22
61b15b9ed9bb6262308e0478,24.70,22
61b15ba1d9bb6262308e0479,24.70,22
61b15bf94a9d799bf02dd1de,Hello mqtt,22
61b15c057151c71fec1dfaf6,Hello mqtt,22
61b15c057151c71fec1dfaf7,24.70,22
61b15c464924a8af44389999,Hello mqtt,22
61b15c67de4a2976acc5349d,Hello mqtt,22
61b15c6ade4a2976acc5349e,24.70,22
61b15c6dde4a2976acc5349f,24.70,22
61b15c70de4a2976acc534a0,24.70,22
61b15c73de4a2976acc534a1,24.70,22
61b15c76de4a2976acc534a2,24.70,22
61b15c79de4a2976acc534a3,24.70,22
61b15c7cde4a2976acc534a4,24.70,22
61b15c7f2268a2a5e437f0e6,Hello mqtt,22
61b15c7f2268a2a5e437f0e7,24.70,22
61b15c832268a2a5e437f0e8,24.70,22
61b15c862268a2a5e437f0e9,24.70,22
61b15c892268a2a5e437f0ea,24.70,22
61b15c8c2268a2a5e437f0eb,24.70,22
61b15c8f2268a2a5e437f0ec,24.70,22
61b15c922268a2a5e437f0ed,24.70,22
61b15c952268a2a5e437f0ee,24.70,22
61b15c982268a2a5e437f0ef,24.70,22
61b15c9c2268a2a5e437f0f0,24.70,22
61b15c9f2268a2a5e437f0f1,24.70,22
61b15ca22268a2a5e437f0f2,24.70,22
61b15ca52268a2a5e437f0f3,24.70,22
61b15ca82268a2a5e437f0f4,24.70,22
61b15cab2268a2a5e437f0f5,24.70,22
61b15dcb20e80380740f4f35,Hello mqtt,22
61b15dcb20e80380740f4f36,24.70,22
61b15dce20e80380740f4f37,24.70,22
61b15dd120e80380740f4f38,24.70,22
61b15dd420e80380740f4f39,24.70,22
61b15dd820e80380740f4f3a,24.70,22
61b15ddb20e80380740f4f3b,24.70,22
61b15dde20e80380740f4f3c,24.70,22
61b1609f0af895a2cc63de0c,Hello mqtt,22
61b160a10af895a2cc63de0d,24.60,22
61b160a40af895a2cc63de0e,24.60,22
61b160a70af895a2cc63de0f,24.60,22
61b160aa0af895a2cc63de10,24.60,22
61b160ad0af895a2cc63de11,24.60,22
61b160b00af895a2cc63de12,24.60,22
61b160b40af895a2cc63de13,24.60,22
61b160b70af895a2cc63de14,24.60,22
61b160ba0af895a2cc63de15,24.60,22
61b160bd0af895a2cc63de16,24.60,22
61b160c00af895a2cc63de17,24.60,22
61b160c30af895a2cc63de18,24.60,22
