_id,lectura,date,fecha,hora
6403d126dd71e13f0307326e,29.10,2023-03-04 20:15:50,2023-03-04,20:15:00
6403d12bdd71e13f0307326f,29.10,2023-03-04 20:15:55,2023-03-04,20:15:05
6403d130dd71e13f03073270,29.10,2023-03-04 20:16:00,2023-03-04,20:15:10
6403d135dd71e13f03073271,29.10,2023-03-04 20:16:05,2023-03-04,20:15:15
6403d13bdd71e13f03073272,29.10,2023-03-04 20:16:11,2023-03-04,20:15:20
6403d140dd71e13f03073273,29.10,2023-03-04 20:16:16,2023-03-04,20:15:25
6403d145dd71e13f03073274,29.10,2023-03-04 20:16:21,2023-03-04,20:15:30
6403d14add71e13f03073275,29.10,2023-03-04 20:16:26,2023-03-04,20:15:36
6403d14fdd71e13f03073276,29.10,2023-03-04 20:16:31,2023-03-04,20:15:41
6403d155dd71e13f03073277,29.10,2023-03-04 20:16:37,2023-03-04,20:15:46
6403d159dd71e13f03073278,29.10,2023-03-04 20:16:41,2023-03-04,20:15:51
6403d15fdd71e13f03073279,29.10,2023-03-04 20:16:47,2023-03-04,20:15:56
6403d164dd71e13f0307327a,29.10,2023-03-04 20:16:52,2023-03-04,20:16:01
6403d169dd71e13f0307327b,29.10,2023-03-04 20:16:57,2023-03-04,20:16:07
6403d16edd71e13f0307327c,29.10,2023-03-04 20:17:02,2023-03-04,20:16:12
6403d173dd71e13f0307327d,29.10,2023-03-04 20:17:07,2023-03-04,20:16:17
6403d178dd71e13f0307327e,29.10,2023-03-04 20:17:12,2023-03-04,20:16:22
6403d17edd71e13f0307327f,29.10,2023-03-04 20:17:18,2023-03-04,20:16:27
6403d183dd71e13f03073280,29.10,2023-03-04 20:17:23,2023-03-04,20:16:32
6403d188dd71e13f03073282,29.10,2023-03-04 20:17:28,2023-03-04,20:16:37
6403d18ddd71e13f03073284,29.10,2023-03-04 20:17:33,2023-03-04,20:16:43
6403d192dd71e13f03073286,29.10,2023-03-04 20:17:38,2023-03-04,20:16:48
6403d197dd71e13f03073288,29.10,2023-03-04 20:17:43,2023-03-04,20:16:53
6403d19ddd71e13f0307328a,29.10,2023-03-04 20:17:49,2023-03-04,20:16:58
6403d1a2dd71e13f0307328c,29.10,2023-03-04 20:17:54,2023-03-04,20:17:03
6403d1a7dd71e13f0307328d,29.10,2023-03-04 20:17:59,2023-03-04,20:17:08
6403d1acdd71e13f0307328e,29.10,2023-03-04 20:18:04,2023-03-04,20:17:13
6403d1b1dd71e13f0307328f,29.10,2023-03-04 20:18:09,2023-03-04,20:17:19
6403d1b6dd71e13f03073290,29.10,2023-03-04 20:18:14,2023-03-04,20:17:24
6403d1bbdd71e13f03073291,29.10,2023-03-04 20:18:19,2023-03-04,20:17:29
6403d1c1dd71e13f03073292,29.10,2023-03-04 20:18:25,2023-03-04,20:17:34
6403d1c6dd71e13f03073293,29.10,2023-03-04 20:18:30,2023-03-04,20:17:39
6403d1cbdd71e13f03073294,29.10,2023-03-04 20:18:35,2023-03-04,20:17:44
6403d1d0dd71e13f03073295,29.10,2023-03-04 20:18:40,2023-03-04,20:17:50
6403d1d5dd71e13f03073296,29.10,2023-03-04 20:18:45,2023-03-04,20:17:55
6403d1dadd71e13f03073297,29.10,2023-03-04 20:18:50,2023-03-04,20:18:00
6403d1dfdd71e13f03073298,29.10,2023-03-04 20:18:55,2023-03-04,20:18:05
6403d1e5dd71e13f03073299,29.10,2023-03-04 20:19:01,2023-03-04,20:18:10
6403d1eadd71e13f0307329a,29.10,2023-03-04 20:19:06,2023-03-04,20:18:15
6403d1efdd71e13f0307329b,29.10,2023-03-04 20:19:11,2023-03-04,20:18:20
6403d1f4dd71e13f0307329c,29.10,2023-03-04 20:19:16,2023-03-04,20:18:26
6403d1f9dd71e13f0307329d,29.10,2023-03-04 20:19:21,2023-03-04,20:18:31
6403d1fedd71e13f0307329e,29.10,2023-03-04 20:19:26,2023-03-04,20:18:36
6403d204dd71e13f0307329f,29.10,2023-03-04 20:19:32,2023-03-04,20:18:41
6403d209dd71e13f030732a0,29.10,2023-03-04 20:19:37,2023-03-04,20:18:46
6403d20edd71e13f030732a1,29.10,2023-03-04 20:19:42,2023-03-04,20:18:51
6403d213dd71e13f030732a2,29.10,2023-03-04 20:19:47,2023-03-04,20:18:56
6403d218dd71e13f030732a3,29.10,2023-03-04 20:19:52,2023-03-04,20:19:02
6403d21ddd71e13f030732a4,29.10,2023-03-04 20:19:57,2023-03-04,20:19:07
6403d222dd71e13f030732a5,29.10,2023-03-04 20:20:02,2023-03-04,20:19:12
6403d227dd71e13f030732a6,29.10,2023-03-04 20:20:07,2023-03-04,20:19:17
6403d22ddd71e13f030732a7,29.10,2023-03-04 20:20:13,2023-03-04,20:19:22
