_id,lectura,date,fecha
63c21ab1c4e0985cbe5301c4,26.20,2023-01-14 00:00:01,2023-01-14
63c21ab7c4e0985cbe5301c5,26.20,2023-01-14 00:00:07,2023-01-14
63c21abdc4e0985cbe5301c6,26.20,2023-01-14 00:00:13,2023-01-14
63c21ac3c4e0985cbe5301c7,26.20,2023-01-14 00:00:19,2023-01-14
63c21ac9c4e0985cbe5301c8,26.20,2023-01-14 00:00:25,2023-01-14
63c21acfc4e0985cbe5301c9,26.20,2023-01-14 00:00:31,2023-01-14
63c21ad5c4e0985cbe5301ca,26.20,2023-01-14 00:00:37,2023-01-14
63c21adbc4e0985cbe5301cb,26.20,2023-01-14 00:00:43,2023-01-14
63c21ae1c4e0985cbe5301cc,26.20,2023-01-14 00:00:49,2023-01-14
63c21ae7c4e0985cbe5301cd,26.20,2023-01-14 00:00:55,2023-01-14
63c21aedc4e0985cbe5301ce,26.30,2023-01-14 00:01:01,2023-01-14
63c21af3c4e0985cbe5301cf,26.20,2023-01-14 00:01:07,2023-01-14
63c21af9c4e0985cbe5301d0,26.20,2023-01-14 00:01:13,2023-01-14
63c21affc4e0985cbe5301d1,26.20,2023-01-14 00:01:19,2023-01-14
63c21b05c4e0985cbe5301d2,26.30,2023-01-14 00:01:25,2023-01-14
63c21b0bc4e0985cbe5301d3,26.20,2023-01-14 00:01:31,2023-01-14
63c21b11c4e0985cbe5301d4,26.30,2023-01-14 00:01:37,2023-01-14
63c21b17c4e0985cbe5301d5,26.20,2023-01-14 00:01:43,2023-01-14
63c21b1dc4e0985cbe5301d6,26.20,2023-01-14 00:01:49,2023-01-14
63c21b24c4e0985cbe5301d7,26.20,2023-01-14 00:01:56,2023-01-14
63c21b2ac4e0985cbe5301d8,26.30,2023-01-14 00:02:02,2023-01-14
63c21b30c4e0985cbe5301d9,26.20,2023-01-14 00:02:08,2023-01-14
63c21b36c4e0985cbe5301da,26.30,2023-01-14 00:02:14,2023-01-14
63c21b3cc4e0985cbe5301db,26.30,2023-01-14 00:02:20,2023-01-14
63c21b42c4e0985cbe5301dc,26.30,2023-01-14 00:02:26,2023-01-14
63c21b48c4e0985cbe5301dd,26.30,2023-01-14 00:02:32,2023-01-14
63c21b4ec4e0985cbe5301de,26.30,2023-01-14 00:02:38,2023-01-14
63c21b54c4e0985cbe5301df,26.30,2023-01-14 00:02:44,2023-01-14
63c21b5ac4e0985cbe5301e0,26.30,2023-01-14 00:02:50,2023-01-14
63c21b60c4e0985cbe5301e1,26.30,2023-01-14 00:02:56,2023-01-14
63c21b66c4e0985cbe5301e2,26.30,2023-01-14 00:03:02,2023-01-14
63c21b6cc4e0985cbe5301e3,26.30,2023-01-14 00:03:08,2023-01-14
63c21b72c4e0985cbe5301e4,26.30,2023-01-14 00:03:14,2023-01-14
63c21b78c4e0985cbe5301e5,26.30,2023-01-14 00:03:20,2023-01-14
63c21b7ec4e0985cbe5301e6,26.20,2023-01-14 00:03:26,2023-01-14
63c21b84c4e0985cbe5301e7,26.20,2023-01-14 00:03:32,2023-01-14
63c21b8ac4e0985cbe5301e8,26.20,2023-01-14 00:03:38,2023-01-14
63c21b90c4e0985cbe5301e9,26.20,2023-01-14 00:03:44,2023-01-14
