_id,lectura,fecha,hora
63642b919f4f6206a2f2fdff,34.00,03-11-2022,17-58-57
63642b949f4f6206a2f2fe00,34.00,03-11-2022,17-59-00
63642b979f4f6206a2f2fe01,34.00,03-11-2022,17-59-03
63642b9a9f4f6206a2f2fe02,34.00,03-11-2022,17-59-06
63642b9d9f4f6206a2f2fe03,34.00,03-11-2022,17-59-09
63642ba09f4f6206a2f2fe04,34.00,03-11-2022,17-59-12
63642ba39f4f6206a2f2fe05,34.10,03-11-2022,17-59-15
63642ba79f4f6206a2f2fe06,34.10,03-11-2022,17-59-19
63642baa9f4f6206a2f2fe07,34.10,03-11-2022,17-59-22
63642bad9f4f6206a2f2fe08,34.10,03-11-2022,17-59-25
63642bb09f4f6206a2f2fe09,34.20,03-11-2022,17-59-28
63642bb39f4f6206a2f2fe0a,34.20,03-11-2022,17-59-31
63642bb69f4f6206a2f2fe0b,34.20,03-11-2022,17-59-34
63642bb99f4f6206a2f2fe0c,34.20,03-11-2022,17-59-37
63642bbc9f4f6206a2f2fe0d,34.20,03-11-2022,17-59-40
63642bc09f4f6206a2f2fe0e,34.30,03-11-2022,17-59-44
63642bc39f4f6206a2f2fe0f,34.30,03-11-2022,17-59-47
63642bc69f4f6206a2f2fe10,34.30,03-11-2022,17-59-50
63642bc99f4f6206a2f2fe11,34.30,03-11-2022,17-59-53
63642bcc9f4f6206a2f2fe12,34.30,03-11-2022,17-59-56
63642bcf9f4f6206a2f2fe13,34.30,03-11-2022,17-59-59
63642bd29f4f6206a2f2fe14,34.30,03-11-2022,18-00-02
63642bd59f4f6206a2f2fe15,34.40,03-11-2022,18-00-05
63642bd99f4f6206a2f2fe16,34.40,03-11-2022,18-00-09
63642bdc9f4f6206a2f2fe17,34.40,03-11-2022,18-00-12
63642bdf9f4f6206a2f2fe18,34.40,03-11-2022,18-00-15
