_id,lectura,date,fecha
63dc1a8a0ff690081f8f8e43,30.00,2023-02-02 17:18:18,2023-02-02
63dc1a8c0ff690081f8f8e44,30.00,2023-02-02 17:18:20,2023-02-02
63dc1a8e0ff690081f8f8e45,30.00,2023-02-02 17:18:22,2023-02-02
63dc1a900ff690081f8f8e46,30.00,2023-02-02 17:18:24,2023-02-02
63dc1a920ff690081f8f8e47,30.00,2023-02-02 17:18:26,2023-02-02
63dc1a940ff690081f8f8e48,30.00,2023-02-02 17:18:28,2023-02-02
63dc1a960ff690081f8f8e49,30.00,2023-02-02 17:18:30,2023-02-02
63dc1a980ff690081f8f8e4a,30.00,2023-02-02 17:18:32,2023-02-02
63dc1a9a0ff690081f8f8e4b,30.00,2023-02-02 17:18:34,2023-02-02
63dc1a9c0ff690081f8f8e4c,30.00,2023-02-02 17:18:36,2023-02-02
63dc1a9e0ff690081f8f8e4d,30.00,2023-02-02 17:18:38,2023-02-02
63dc1aa00ff690081f8f8e4e,30.00,2023-02-02 17:18:40,2023-02-02
63dc1aa20ff690081f8f8e4f,30.00,2023-02-02 17:18:42,2023-02-02
63dc1aa40ff690081f8f8e50,30.00,2023-02-02 17:18:44,2023-02-02
63dc1aa60ff690081f8f8e51,30.00,2023-02-02 17:18:46,2023-02-02
63dc1aa80ff690081f8f8e52,30.00,2023-02-02 17:18:48,2023-02-02
63dc1aaa0ff690081f8f8e53,30.00,2023-02-02 17:18:50,2023-02-02
63dc1aac0ff690081f8f8e54,30.00,2023-02-02 17:18:52,2023-02-02
63dc1aae0ff690081f8f8e55,30.00,2023-02-02 17:18:54,2023-02-02
63dc1ab00ff690081f8f8e56,30.00,2023-02-02 17:18:56,2023-02-02
63dc1ab20ff690081f8f8e57,30.00,2023-02-02 17:18:58,2023-02-02
63dc1ab40ff690081f8f8e58,30.00,2023-02-02 17:19:00,2023-02-02
63dc1ab60ff690081f8f8e59,30.00,2023-02-02 17:19:02,2023-02-02
63dc1ab80ff690081f8f8e5a,30.00,2023-02-02 17:19:04,2023-02-02
63dc1aba0ff690081f8f8e5b,30.00,2023-02-02 17:19:06,2023-02-02
63dc1abc0ff690081f8f8e5c,30.00,2023-02-02 17:19:08,2023-02-02
63dc1abf0ff690081f8f8e5d,30.00,2023-02-02 17:19:11,2023-02-02
63dc1ac00ff690081f8f8e5e,30.00,2023-02-02 17:19:12,2023-02-02
63dc1ac20ff690081f8f8e5f,30.10,2023-02-02 17:19:14,2023-02-02
63dc1ac50ff690081f8f8e60,30.10,2023-02-02 17:19:17,2023-02-02
63dc1ac70ff690081f8f8e61,30.10,2023-02-02 17:19:19,2023-02-02
63dc1ac90ff690081f8f8e62,30.10,2023-02-02 17:19:21,2023-02-02
