_id,lectura,lectura2,lectura3,lectura4,lectura5,lectura6,date,fecha,hora
643f75cacc99785a41d15ccd,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:02,2023-04-19,01:02:20
643f75cfcc99785a41d15cce,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:07,2023-04-19,01:02:26
643f75d4cc99785a41d15ccf,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:12,2023-04-19,01:02:31
643f75d9cc99785a41d15cd0,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:17,2023-04-19,01:02:36
643f75decc99785a41d15cd1,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:22,2023-04-19,01:02:41
643f75e4cc99785a41d15cd2,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:28,2023-04-19,01:02:46
643f75e9cc99785a41d15cd3,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:33,2023-04-19,01:02:51
643f75eecc99785a41d15cd4,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:38,2023-04-19,01:02:57
643f75f3cc99785a41d15cd5,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:43,2023-04-19,01:03:02
643f75f8cc99785a41d15cd6,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:48,2023-04-19,01:03:07
643f75fdcc99785a41d15cd7,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:53,2023-04-19,01:03:12
643f7603cc99785a41d15cd8,19.90,33.00,45,20,20,3.140000105,2023-04-19 01:02:59,2023-04-19,01:03:17
643f7608cc99785a41d15cd9,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:04,2023-04-19,01:03:22
643f760dcc99785a41d15cda,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:09,2023-04-19,01:03:27
643f7612cc99785a41d15cdb,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:14,2023-04-19,01:03:33
643f7617cc99785a41d15cdc,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:19,2023-04-19,01:03:38
643f761ccc99785a41d15cdd,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:24,2023-04-19,01:03:43
643f7621cc99785a41d15cde,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:29,2023-04-19,01:03:48
643f7627cc99785a41d15cdf,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:35,2023-04-19,01:03:53
643f762ccc99785a41d15ce0,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:40,2023-04-19,01:03:58
643f7631cc99785a41d15ce1,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:45,2023-04-19,01:04:04
643f7636cc99785a41d15ce2,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:50,2023-04-19,01:04:09
643f763bcc99785a41d15ce3,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:03:55,2023-04-19,01:04:14
643f7640cc99785a41d15ce4,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:00,2023-04-19,01:04:19
643f7645cc99785a41d15ce5,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:05,2023-04-19,01:04:24
643f764bcc99785a41d15ce6,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:11,2023-04-19,01:04:29
643f7650cc99785a41d15ce7,19.80,33.00,44,20,20,3.140000105,2023-04-19 01:04:16,2023-04-19,01:04:35
643f7655cc99785a41d15ce8,19.80,33.00,44,20,20,3.140000105,2023-04-19 01:04:21,2023-04-19,01:04:40
643f765acc99785a41d15ce9,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:26,2023-04-19,01:04:45
643f765fcc99785a41d15cea,19.70,33.00,45,20,20,3.140000105,2023-04-19 01:04:31,2023-04-19,01:04:50
643f7664cc99785a41d15ceb,19.70,33.00,44,20,20,3.140000105,2023-04-19 01:04:36,2023-04-19,01:04:55
643f766acc99785a41d15cec,19.70,33.00,45,20,20,3.140000105,2023-04-19 01:04:42,2023-04-19,01:05:00
643f766fcc99785a41d15ced,19.70,33.00,45,20,20,3.140000105,2023-04-19 01:04:47,2023-04-19,01:05:05
643f7674cc99785a41d15cee,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:52,2023-04-19,01:05:11
643f7679cc99785a41d15cef,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:04:57,2023-04-19,01:05:16
643f767ecc99785a41d15cf0,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:05:02,2023-04-19,01:05:21
643f7683cc99785a41d15cf1,19.80,32.00,45,20,20,3.140000105,2023-04-19 01:05:07,2023-04-19,01:05:26
643f7689cc99785a41d15cf2,19.80,32.00,45,20,20,3.140000105,2023-04-19 01:05:13,2023-04-19,01:05:31
643f768ecc99785a41d15cf3,19.80,33.00,45,20,20,3.140000105,2023-04-19 01:05:18,2023-04-19,01:05:36
