_id,lectura,fecha,hora
63646cf29dabc908aabce3c3,32.50,03-11-2022,22-37-54
63646cf59dabc908aabce3c4,32.50,03-11-2022,22-37-57
63646cf99dabc908aabce3c5,32.50,03-11-2022,22-38-01
63646cfc9dabc908aabce3c6,32.50,03-11-2022,22-38-04
63646cff9dabc908aabce3c7,32.50,03-11-2022,22-38-07
63646d029dabc908aabce3c8,32.50,03-11-2022,22-38-10
63646d059dabc908aabce3c9,32.60,03-11-2022,22-38-13
63646d089dabc908aabce3ca,32.80,03-11-2022,22-38-16
63646d0b9dabc908aabce3cb,32.80,03-11-2022,22-38-19
63646d0e9dabc908aabce3cc,32.90,03-11-2022,22-38-22
63646d129dabc908aabce3cd,32.80,03-11-2022,22-38-26
63646d159dabc908aabce3ce,32.70,03-11-2022,22-38-29
63646d189dabc908aabce3cf,32.60,03-11-2022,22-38-32
63646d1b9dabc908aabce3d0,32.60,03-11-2022,22-38-35
63646d1e9dabc908aabce3d1,32.70,03-11-2022,22-38-38
